x,y
244.5091,983.02856
701.37115,763.07294
1048.5063,836.33466
623.48755,633.58356
1157.1407,595.8739
1521.0289,348.61243
614.7652,136.68681
689.0033,837.9038
1201.2738,237.86182
1290.4363,121.56213
1143.4174,176.46727
1486.3518,424.21198
1436.3169,121.41161
1314.5808,243.7176
975.40674,1078.5757
469.03296,451.6525
1088.8097,922.01263
1190.5753,1195.58
177.03076,1193.4937
1442.2452,1056.2148
512.9875,115.751755
1496.4451,323.24283
1321.3881,293.25415
413.2989,415.23016
43.120293,1173.0991
1346.5114,280.27863
214.14413,29.423555
1212.6636,397.13907
9.26046,1046.4794
1115.587,620.02106
753.6911,628.9289
946.4189,997.4337
92.11349,646.12634
597.34564,386.55972
41.89931,564.868
355.6059,734.3002
62.617188,531.523
1111.8994,799.5617
1041.5613,266.34573
1252.1821,417.46164
544.89374,740.33105
596.8085,843.74384
1146.4816,883.1573
640.3273,387.5764
560.2593,941.95337
614.19714,151.48941
173.67856,873.3655
905.4943,245.33633
1087.5258,315.01108
148.2597,464.4455
1368.3032,291.2726
1198.9364,409.78265
1211.1971,297.81265
574.0718,1094.8447
1294.1377,621.98804
1227.4048,976.71765
518.72626,377.29492
842.9727,228.39796
644.2716,886.2318
527.5795,454.52283
630.74817,521.4175
550.4546,652.5093
260.80875,702.0409
509.2352,278.7793
1569.621,271.91968
957.2678,537.60657
1551.3851,305.1366
204.89053,161.68092
1594.7543,728.5228
739.4219,1197.4645
1170.2711,565.2334
1473.7186,863.7391
694.41907,217.51181
1096.6958,38.671543
1261.9934,450.67914
311.51508,399.06833
217.28525,595.3043
272.86594,753.89575
238.02478,675.98413
343.45065,678.2878
1475.8187,17.483896
561.3866,284.71362
571.98987,673.1857
1329.6809,957.9471
286.78058,660.36
160.30363,777.9365
1358.4187,324.93106
1268.5216,244.03482
922.269,728.91833
638.33405,854.9479
590.4489,178.86702
1440.7173,842.69653
1140.3876,318.47562
1460.4299,419.39697
76.49001,415.83392
17.973558,88.787636
1057.6918,786.37695
580.507,534.6217
936.34045,64.93133
688.47736,482.24557
96.581726,937.0648
320.1506,438.0739
1012.66754,905.4142
1575.5052,137.04793
336.63205,217.33907
720.6651,1057.8185
1494.3937,286.6949
401.2238,1096.0887
1542.2219,408.60736
247.41928,822.1115
696.35486,681.962
776.6618,1016.28064
1116.7301,746.9021
1081.468,884.4396
441.3677,433.0728
172.90593,648.01874
303.17896,705.23804
226.08836,682.49664
